ChEMBL_ID	UniProt
CHEMBL290916	P0DMS8
CHEMBL290916	P33032
CHEMBL290916	P25100
CHEMBL290916	P29466
CHEMBL290916	P23975
CHEMBL290916	P05177
CHEMBL290916	P28482
CHEMBL290916	P37231
CHEMBL290916	P08246
CHEMBL290916	P08684
CHEMBL290916	P24557
CHEMBL290916	P21917
CHEMBL290916	P25103
CHEMBL290916	P15823
CHEMBL290916	P11509
CHEMBL290916	P14780
CHEMBL290916	Q9Y271
CHEMBL290916	P30988
CHEMBL290916	P07943
CHEMBL290916	P35968
CHEMBL290916	P08173
CHEMBL290916	P08913
CHEMBL290916	O75874
CHEMBL290916	P43140
CHEMBL290916	P35367
CHEMBL290916	P21589
CHEMBL290916	P14416
CHEMBL290916	P03372
CHEMBL290916	P10275
CHEMBL290916	P29476
CHEMBL290916	P39748
CHEMBL290916	P51450
CHEMBL290916	Q14432
CHEMBL290916	P41968
CHEMBL290916	P32245
CHEMBL290916	P54855
CHEMBL290916	Q99720
CHEMBL290916	O60656
CHEMBL290916	P06401
CHEMBL290916	P62813
CHEMBL290916	O75496
CHEMBL290916	P06239
CHEMBL290916	P18825
CHEMBL290916	P00352
CHEMBL290916	P15917
CHEMBL290916	P05181
CHEMBL290916	P17948
CHEMBL290916	Q13951
CHEMBL290916	P28223
CHEMBL290916	P12822
CHEMBL290916	P04035
CHEMBL290916	P18089
CHEMBL290916	P35503
CHEMBL290916	P51679
CHEMBL290916	P17252
CHEMBL290916	P08575
CHEMBL290916	P19224
CHEMBL290916	P25929
CHEMBL290916	P19327
CHEMBL290916	O89049
CHEMBL290916	P00734
CHEMBL290916	Q92731
CHEMBL290916	P08172
CHEMBL290916	P49146
CHEMBL290916	Q12809
CHEMBL290916	P08912
CHEMBL290916	P15207
CHEMBL290916	P11473
CHEMBL290916	P21554
CHEMBL290916	Q03164
CHEMBL290916	O75795
CHEMBL290916	P35354
CHEMBL290916	P10253
CHEMBL290916	P20781
CHEMBL290916	P33261
CHEMBL290916	P00533
CHEMBL290916	P18507
CHEMBL290916	Q01196
CHEMBL290916	P35348
CHEMBL290916	P12530
CHEMBL290916	Q16236
CHEMBL290916	P22309
CHEMBL290916	P04626
CHEMBL290916	P37288
CHEMBL290916	P21397
CHEMBL290916	P03956
CHEMBL290916	P27361
CHEMBL290916	P07550
CHEMBL290916	Q9Y5N1
CHEMBL290916	Q9NUW8
CHEMBL290916	P22303
CHEMBL290916	Q9HAW8
CHEMBL290916	P04150
CHEMBL290916	Q01959
CHEMBL290916	P41597
CHEMBL290916	P27695
CHEMBL290916	P25105
CHEMBL290916	P08311
CHEMBL290916	P29274
CHEMBL290916	P23219
CHEMBL290916	P21728
CHEMBL290916	P47870
CHEMBL290916	Q690N0
CHEMBL290916	P47869
CHEMBL290916	Q9HAW7
CHEMBL290916	P21452
CHEMBL290916	P41595
CHEMBL290916	O00255
CHEMBL290916	P10635
CHEMBL290916	P29477
CHEMBL290916	P28335
CHEMBL290916	P06133
CHEMBL290916	Q9UBN7
CHEMBL290916	Q9HAW9
CHEMBL290916	P0DTD1
CHEMBL290916	P07727
CHEMBL290916	P10636
CHEMBL48449	A6XA80
CHEMBL48449	P11712
CHEMBL48449	P11229
CHEMBL48449	P50406
CHEMBL48449	O76074
CHEMBL48449	P00918
CHEMBL48449	P25021
CHEMBL48449	P51681
CHEMBL48449	P25025
CHEMBL48449	P15127
CHEMBL48449	P06241
CHEMBL48449	P50052
CHEMBL48449	P22771
CHEMBL48449	P25101
CHEMBL48449	P41145
CHEMBL48449	P30542
CHEMBL48449	P35372
CHEMBL48449	Q16539
CHEMBL48449	P25094
CHEMBL48449	Q16637
CHEMBL48449	P36873
CHEMBL48449	P32238
CHEMBL48449	P28564
CHEMBL48449	O70528
CHEMBL48449	P20309
CHEMBL48449	P41143
CHEMBL48449	P31645
CHEMBL48449	P04637
CHEMBL48449	P08588
CHEMBL48449	P02545
CHEMBL48449	P30411
CHEMBL48449	P35462
CHEMBL48449	P13945
CHEMBL48449	P32241
CHEMBL48449	P24524
CHEMBL48449	Q08209
CHEMBL48449	P25024
CHEMBL48449	P0DMS8
CHEMBL48449	P33032
CHEMBL48449	Q16665
CHEMBL48449	P25100
CHEMBL48449	P29466
CHEMBL48449	P23975
CHEMBL48449	P05177
CHEMBL48449	P28482
CHEMBL48449	P08684
CHEMBL48449	P08246
CHEMBL48449	P24557
CHEMBL48449	P21917
CHEMBL48449	P25103
CHEMBL48449	P15823
CHEMBL48449	P11509
CHEMBL48449	P14780
CHEMBL48449	Q9Y271
CHEMBL48449	P30988
CHEMBL48449	P07943
CHEMBL48449	P08173
CHEMBL48449	P08913
CHEMBL48449	O75688
CHEMBL48449	P43140
CHEMBL48449	P35367
CHEMBL48449	P14416
CHEMBL48449	P03372
CHEMBL48449	P29476
CHEMBL48449	P51450
CHEMBL48449	P41968
CHEMBL48449	P32245
CHEMBL48449	Q99720
CHEMBL48449	O75496
CHEMBL48449	P06239
CHEMBL48449	P18825
CHEMBL48449	O42275
CHEMBL48449	P05181
CHEMBL48449	P17948
CHEMBL48449	P12822
CHEMBL48449	P28223
CHEMBL48449	P04035
CHEMBL48449	P18089
CHEMBL48449	P51679
CHEMBL48449	P17252
CHEMBL48449	P08575
CHEMBL48449	Q9Y6L6
CHEMBL48449	P25929
CHEMBL48449	P19327
CHEMBL48449	Q92731
CHEMBL48449	P08172
CHEMBL48449	P49146
CHEMBL48449	Q12809
CHEMBL48449	P08912
CHEMBL48449	P15207
CHEMBL48449	P21554
CHEMBL48449	P35354
CHEMBL48449	P20781
CHEMBL48449	P33261
CHEMBL48449	P00533
CHEMBL48449	Q92830
CHEMBL48449	P67775
CHEMBL48449	O00743
CHEMBL48449	P12530
CHEMBL48449	P04626
CHEMBL48449	P37288
CHEMBL48449	P21397
CHEMBL48449	P03956
CHEMBL48449	P27361
CHEMBL48449	P07550
CHEMBL48449	P22303
CHEMBL48449	P04150
CHEMBL48449	Q01959
CHEMBL48449	Q8AWE3
CHEMBL48449	P41597
CHEMBL48449	Q9NPD5
CHEMBL48449	P25105
CHEMBL48449	P08311
CHEMBL48449	P29274
CHEMBL48449	P81908
CHEMBL48449	P23219
CHEMBL48449	P21728
CHEMBL48449	Q690N0
CHEMBL48449	P53041
CHEMBL48449	P21452
CHEMBL48449	P41595
CHEMBL48449	P10635
CHEMBL48449	P29477
CHEMBL48449	P28335
CHEMBL48449	Q9UBN7
CHEMBL48449	P0DTD1
CHEMBL48449	P07727
CHEMBL48449	P18031
CHEMBL295698	P08684
CHEMBL295698	P0DTD1
CHEMBL298470	Q14432
CHEMBL298470	P11229
CHEMBL298470	P02768
CHEMBL298470	P35462
CHEMBL298470	P06401
CHEMBL298470	P62813
CHEMBL298470	P27815
CHEMBL298470	P35348
CHEMBL298470	P23975
CHEMBL298470	P21397
CHEMBL298470	Q9Y5N1
CHEMBL298470	P30542
CHEMBL298470	P35372
CHEMBL298470	P22303
CHEMBL298470	Q01959
CHEMBL298470	P23219
CHEMBL298470	P21728
CHEMBL298470	P08913
CHEMBL298470	P21731
CHEMBL298470	P41595
CHEMBL298470	P00734
CHEMBL298470	P31645
CHEMBL298470	P08908
CHEMBL298470	P08172
